type,is_pyramid,units,entry_date,exit_date,entry_price,exit_price,raw_pnl,pnl,holding_days
Long,False,1.0,2025-03-07 22:00:00,2025-03-10 14:00:00,2920.5,2919.6,-0.9,-3.45,3
Long,True,1.0,2025-03-08 06:00:00,2025-03-10 14:00:00,2934.8,2919.6,-15.2,-17.0,2
Long,False,1.0,2025-03-12 06:00:00,2025-03-12 14:00:00,2923.9,2922.3,-1.6,-1.9,0
Long,False,1.0,2025-03-13 14:00:00,2025-03-14 22:00:00,2943.3,2999.4,56.1,55.05,1
Long,True,1.5,2025-03-13 22:00:00,2025-03-14 22:00:00,2949.2,2999.4,50.2,73.73,1
Long,False,1.0,2025-03-17 22:00:00,2025-03-20 06:00:00,2995.0,3041.7,46.7,44.15,3
Long,True,1.5,2025-03-18 06:00:00,2025-03-20 06:00:00,2996.0,3041.7,45.7,65.85,2
Long,False,1.0,2025-03-20 14:00:00,2025-03-20 22:00:00,3058.0,3055.3,-2.7,-3.0,0
Long,False,1.0,2025-03-21 14:00:00,2025-03-21 22:00:00,3052.6,3035.3,-17.3,-17.6,0
Long,False,1.0,2025-03-24 14:00:00,2025-03-24 22:00:00,3027.6,3026.7,-0.9,-1.2,0
Long,False,1.0,2025-03-25 06:00:00,2025-03-25 14:00:00,3026.9,3017.5,-9.4,-9.7,0
Long,False,1.0,2025-03-25 22:00:00,2025-03-26 14:00:00,3022.6,3025.8,3.2,2.15,1
Long,False,1.0,2025-03-26 22:00:00,2025-03-27 06:00:00,3026.0,3022.3,-3.7,-4.75,1
Long,False,1.0,2025-03-27 14:00:00,2025-03-31 14:00:00,3025.6,3118.8,93.2,89.9,4
Long,True,1.0,2025-03-28 14:00:00,2025-03-31 14:00:00,3099.3,3118.8,19.5,16.95,3
Long,False,1.0,2025-03-31 22:00:00,2025-04-01 06:00:00,3149.0,3146.3,-2.7,-3.75,1
Long,False,1.0,2025-04-01 14:00:00,2025-04-02 14:00:00,3157.3,3147.5,-9.8,-10.85,1
Long,True,1.5,2025-04-01 22:00:00,2025-04-02 14:00:00,3161.0,3147.5,-13.5,-21.83,1
Long,False,1.0,2025-04-03 06:00:00,2025-04-03 22:00:00,3159.4,3154.3,-5.1,-5.4,0
Long,True,1.5,2025-04-03 14:00:00,2025-04-03 22:00:00,3196.6,3154.3,-42.3,-63.9,0
Long,False,1.0,2025-04-04 14:00:00,2025-04-04 22:00:00,3138.0,3129.3,-8.7,-9.0,0
Long,False,1.0,2025-04-10 14:00:00,2025-04-11 06:00:00,3099.1,3134.4,35.3,34.25,1
