type,is_pyramid,units,entry_date,entry_price,exit_date,exit_price,stop_price,pnl_points,holding_hours,exit_reason,trade_id
Long,False,1.0,2025-09-16 00:00:00,3680.59,2025-09-16 08:00:00,3676.98,3619.8,-3.91,0,Signal Exit,402
Long,True,2.0,2025-09-16 04:00:00,3680.9,2025-09-16 08:00:00,3676.98,3622.4,-8.44,0,Signal Exit,403
Long,False,1.0,2025-09-16 12:00:00,3681.01,2025-09-17 00:00:00,3686.24,3665.77,4.18,24,Signal Exit,404
Long,True,2.0,2025-09-16 16:00:00,3686.53,2025-09-17 00:00:00,3686.24,3665.77,-2.68,24,Signal Exit,405
Long,False,1.0,2025-09-17 04:00:00,3689.63,2025-09-17 12:00:00,3681.69,3670.46,-8.24,0,Signal Exit,406
Long,True,2.0,2025-09-17 08:00:00,3694.16,2025-09-17 12:00:00,3681.69,3670.46,-25.54,0,Signal Exit,407
Long,False,1.0,2025-09-18 00:00:00,3684.25,2025-09-18 04:00:00,3661.8,3643.8,-22.75,0,Signal Exit,408
Long,False,1.0,2025-09-18 08:00:00,3669.1,2025-09-18 12:00:00,3658.64,3628.63,-10.76,0,Signal Exit,409
Long,False,1.0,2025-09-18 20:00:00,3667.23,2025-09-19 00:00:00,3641.3,3614.01,-26.98,24,Signal Exit,410
Long,False,1.0,2025-09-20 00:00:00,3670.87,2025-09-23 12:00:00,3746.71,3695.68,73.29,72,Signal Exit,411
Long,True,1.0,2025-09-22 08:00:00,3686.01,2025-09-23 12:00:00,3746.71,3695.68,59.65,24,Signal Exit,412
Long,False,1.0,2025-09-23 16:00:00,3753.4,2025-09-24 00:00:00,3779.17,3724.57,24.72,24,Signal Exit,413
Long,True,2.0,2025-09-23 20:00:00,3783.64,2025-09-24 00:00:00,3779.17,3724.57,-11.04,24,Signal Exit,414
Long,False,1.0,2025-09-24 12:00:00,3765.3,2025-09-24 20:00:00,3769.0,3730.31,3.4,0,Signal Exit,415
Long,True,2.0,2025-09-24 16:00:00,3777.54,2025-09-24 20:00:00,3769.0,3730.31,-17.68,0,Signal Exit,416
Long,False,1.0,2025-09-25 08:00:00,3742.87,2025-09-25 12:00:00,3736.56,3696.21,-6.61,0,Signal Exit,417
Long,False,1.0,2025-09-25 16:00:00,3752.31,2025-09-26 00:00:00,3736.12,3707.05,-17.24,24,Signal Exit,418
Long,False,1.0,2025-09-26 04:00:00,3746.77,2025-09-26 08:00:00,3744.61,3699.18,-2.46,0,Signal Exit,419
Long,False,1.0,2025-09-26 12:00:00,3745.6,2025-09-27 04:00:00,3766.73,3720.14,20.08,24,Signal Exit,420
Long,False,1.0,2025-09-29 08:00:00,3766.9,2025-09-30 04:00:00,3828.65,3770.56,60.7,24,Signal Exit,421
Long,True,1.0,2025-09-29 12:00:00,3794.47,2025-09-30 04:00:00,3828.65,3770.56,33.13,24,Signal Exit,422
Long,False,1.0,2025-09-30 08:00:00,3832.93,2025-09-30 16:00:00,3843.86,3804.83,10.63,0,Signal Exit,423
Long,True,2.0,2025-09-30 12:00:00,3864.71,2025-09-30 16:00:00,3843.86,3804.83,-42.3,0,Signal Exit,424
